@ | 00:0611 | Child 0 message 1
00:9996 | 01:0697 | Child 1 message 1
01:0844 | 01:0919 | Child 0 message 2
02:0569 | 02:0643 | Child 2 message 1
02:0779 | 02:1037 | Child 0 message 3
02:9996 | 03:0591 | Child 3 message 1
03:0791 | 03:0658 | Child 3 message 2
03:0820 | 03:0882 | Child 1 message 2
03:0935 | 03:1165 | Child 0 message 4
03:9997 | 04:0526 | Child 4 message 1: Hello
04:0690 | 04:0819 | Child 2 message 2
05:0131 | 05:0766 | Child 3 message 3
05:0884 | 05:0804 | Child 3 message 4
05:0912 | 05:0811 | Child 3 message 5
05:0957 | 05:1129 | Child 1 message 3
05:1182 | 05:1301 | Child 0 message 5
05:2897 | 04:0623 | Child 4 message 2: this is my message
06:0699 | 06:1699 | Child 2 message 3
07:0330 | 07:0918 | Child 3 message 6
07:1023 | 07:1258 | Child 1 message 4
07:1371 | 07:1272 | Child 1 message 5
07:1443 | 07:1278 | Child 1 message 6
07:1468 | 07:1491 | Child 0 message 6
07:1532 | 07:1855 | Child 2 message 4
07:1921 | 07:1869 | Child 2 message 5
07:1947 | 07:1875 | Child 2 message 6
07:5259 | 05:2897 | Child 4 message 3: I type again
08:1511 | 08:1991 | Child 2 message 7
08:2109 | 08:2018 | Child 2 message 8
09:0673 | 09:1064 | Child 3 message 7
09:1167 | 09:1393 | Child 1 message 7
09:1445 | 09:1612 | Child 0 message 7
09:1684 | 09:1625 | Child 0 message 8
09:1710 | 09:1632 | Child 0 message 9
10:0726 | 10:1202 | Child 3 message 8
10:1299 | 10:1747 | Child 0 message 10
10:1799 | 10:2137 | Child 2 message 9
10:2208 | 10:2151 | Child 2 message 10
10:2233 | 10:2158 | Child 2 message 11
10:3123 | 07:5263 | Child 4 message 4: continuing on
11:0738 | 11:1517 | Child 1 message 8
11:1626 | 11:2273 | Child 2 message 12
12:0756 | 12:1337 | Child 3 message 9
12:1444 | 12:1871 | Child 0 message 11
12:1933 | 12:1884 | Child 0 message 12
12:1959 | 12:1891 | Child 0 message 13
12:1983 | 12:2396 | Child 2 message 13
12:9131 | 11:3130 | Child 4 message 5: for thirty seconds
13:0900 | 13:1665 | Child 1 message 9
14:1123 | 14:1513 | Child 3 message 10
14:1610 | 14:2187 | Child 0 message 14
14:1610 | 14:2134 | Child 1 message 10
14:2301 | 14:2519 | Child 2 message 14
14:2579 | 14:2533 | Child 2 message 15
14:2605 | 14:2540 | Child 2 message 16
15:1248 | 15:1651 | Child 3 message 11
15:1762 | 15:2658 | Child 2 message 17
15:2745 | 15:2673 | Child 2 message 18
15:2771 | 15:2679 | Child 2 message 19
15:2795 | 15:2685 | Child 2 message 20
15:2819 | 15:2691 | Child 2 message 21
16:1255 | 16:2308 | Child 0 message 15
16:1255 | 16:2258 | Child 1 message 11
16:2425 | 16:2284 | Child 1 message 12
16:2450 | 16:2806 | Child 2 message 22
16:2883 | 16:2820 | Child 2 message 23
16:8438 | 13:9134 | Child 4 message 6: so that the messages print
17:1629 | 17:1786 | Child 3 message 12
17:1890 | 17:1812 | Child 3 message 13
17:1917 | 17:2407 | Child 1 message 13
17:2473 | 17:2421 | Child 1 message 14
18:1716 | 18:2421 | Child 0 message 16
18:2523 | 18:2937 | Child 2 message 24
18:8189 | 16:8448 | Child 4 message 7: to the file
19:1889 | 19:1929 | Child 3 message 14
19:2070 | 19:2830 | Child 0 message 17
19:2070 | 19:2797 | Child 1 message 15
19:2902 | 19:2841 | Child 0 message 18
19:2928 | 19:3066 | Child 2 message 25
20:1008 | 20:2069 | Child 3 message 15
20:2169 | 20:2094 | Child 3 message 16
20:8186 | 20:8190 | Child 4 message 8: hooray!
21:1411 | 21:2571 | Child 3 message 17
21:3131 | 21:2595 | Child 3 message 18
21:3198 | 21:3259 | Child 0 message 19
21:3198 | 21:3231 | Child 1 message 16
21:3198 | 21:3393 | Child 2 message 26
22:2287 | 22:3358 | Child 1 message 17
23:2619 | 23:2727 | Child 3 message 19
23:2830 | 23:2753 | Child 3 message 20
23:2858 | 23:3377 | Child 0 message 20
23:3444 | 23:3518 | Child 2 message 27
23:3580 | 23:3531 | Child 2 message 28
23:5508 | 22:8192 | Child 4 message 9: such victory!
24:2901 | 24:3540 | Child 0 message 21
24:2901 | 24:3496 | Child 1 message 18
24:3595 | 24:4163 | Child 2 message 29
25:2713 | 25:2878 | Child 3 message 21
25:2977 | 25:3661 | Child 0 message 22
26:2347 | 26:3039 | Child 3 message 22
26:3154 | 26:3065 | Child 3 message 23
26:3182 | 26:3635 | Child 1 message 19
26:3696 | 26:4315 | Child 2 message 30
27:2866 | 27:3809 | Child 0 message 23
27:2866 | 27:3766 | Child 1 message 20
27:3912 | 27:4439 | Child 2 message 31
28:2241 | 28:3184 | Child 3 message 24
28:3296 | 28:3934 | Child 0 message 24
28:3296 | 28:3907 | Child 1 message 21
28:4010 | 28:3946 | Child 0 message 25
28:4036 | 28:3952 | Child 0 message 26
29:2529 | 29:6474 | Child 3 message 25
29:6607 | 29:6505 | Child 3 message 26
29:6637 | 29:6512 | Child 3 message 27
29:6662 | 29:6684 | Child 0 message 27
29:6662 | 29:6717 | Child 2 message 32
29:9199 | 29:6696 | Child 0 message 28
